Date;Run;DOC Type;Docs
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
2017-05-04;T10T ; FSD ; 1108
2017-05-04;T10T ; XCD ; 556
2017-05-04;T10T ; HXD ; 18770
2017-05-04;T10T ; ZTD ; 834
2017-05-04;T10T ; ZAD ; 556
2017-05-04;T10T ; XPD ; 278
2017-05-04;T10T ; XTD ; 1390
2017-05-04;T10T ; XND ; 556
2017-05-04;T10T ; FID ; 556
2017-05-04;T10T ; IAD ; 4726
2017-05-04;T10T ; YWD ; 1108
2017-05-04;T10T ; FAD ; 1108
2017-05-04;T10T ; FSD ; 1108
2017-05-04;T10T ; XCD ; 556
2017-05-04;T10T ; HXD ; 18770
2017-05-04;T10T ; ZTD ; 834
2017-05-04;T10T ; ZAD ; 556
2017-05-04;T10T ; XPD ; 278
2017-05-04;T10T ; XTD ; 1390
2017-05-04;T10T ; XND ; 556
2017-05-04;T10T ; FID ; 556
2017-05-04;T10T ; IAD ; 4726
2017-05-04;T10T ; YWD ; 1108
2017-05-04;T10T ; FAD ; 1108
2017-05-04;T10T ; FSD ; 1108
2017-05-04;T10T ; XCD ; 556
2017-05-04;T10T ; HXD ; 18770
2017-05-04;T10T ; ZTD ; 834
2017-05-04;T10T ; ZAD ; 556
2017-05-04;T10T ; XPD ; 278
2017-05-04;T10T ; XTD ; 1390
2017-05-04;T10T ; XND ; 556
2017-05-04;T10T ; FID ; 556
2017-05-04;T10T ; IAD ; 4726
2017-05-04;T10T ; YWD ; 1108
2017-05-04;T10T ; FAD ; 1108
2017-05-04;T10T ; FSD ; 1108
2017-05-04;T10T ; XCD ; 556
2017-05-04;T10T ; HXD ; 18770
2017-05-04;T10T ; ZTD ; 834
2017-05-04;T10T ; ZAD ; 556
2017-05-04;T10T ; XPD ; 278
2017-05-04;T10T ; XTD ; 1390
2017-05-04;T10T ; XND ; 556
2017-05-04;T10T ; FID ; 556
2017-05-04;T10T ; IAD ; 4726
2017-05-04;T10T ; YWD ; 1108
2017-05-04;T10T ; FAD ; 1108
2017-05-04;T30T ; FSD ; 1108
2017-05-04;T30T ; XCD ; 556
2017-05-04;T30T ; HXD ; 18770
2017-05-04;T30T ; ZTD ; 834
2017-05-04;T30T ; ZAD ; 556
2017-05-04;T30T ; XPD ; 278
2017-05-04;T30T ; XTD ; 1390
2017-05-04;T30T ; XND ; 556
2017-05-04;T30T ; FID ; 556
2017-05-04;T30T ; IAD ; 4726
2017-05-04;T30T ; YWD ; 1108
2017-05-04;T30T ; FAD ; 1108
